Product Name,Price
"Apple iPhone 16 (White, 128 GB)",69999
"Apple iPhone 16 (White, 256 GB)",79999
"Apple iPhone 16 (Black, 128 GB)",69999
"Apple iPhone 16 (Black, 256 GB)",79999
"Apple iPhone 16 (Ultramarine, 256 GB)",79999
"Apple iPhone 16 (Ultramarine, 128 GB)",69999
"Apple iPhone 16 (Teal, 256 GB)",79999
"Apple iPhone 16 (Teal, 128 GB)",69999
"Apple iPhone 16 (Pink, 256 GB)",79999
"Apple iPhone 16 (Pink, 128 GB)",69999
"Apple iPhone 16 Plus (Black, 512 GB)",108999
"Apple iPhone 16 Plus (Black, 256 GB)",88999
"Apple iPhone 16 Plus (Black, 128 GB)",78999
"Apple iPhone 16 Plus (Ultramarine, 256 GB)",88999
"Apple iPhone 16 Plus (Ultramarine, 512 GB)",108999
"Apple iPhone 16 Plus (Ultramarine, 128 GB)",78999
"Apple iPhone 16 Plus (Teal, 512 GB)",108999
"Apple iPhone 16 Plus (Teal, 256 GB)",88999
"Apple iPhone 16 Plus (Teal, 128 GB)",78999
"Apple iPhone 16 Plus (Pink, 512 GB)",108999
"Apple iPhone 16 Pro (Desert Titanium, 512 GB)",142900
"Apple iPhone 16 Plus (Pink, 128 GB)",78999
"Apple iPhone 16 Pro (Desert Titanium, 1 TB)",162900
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)",112900
